dictionary_id,dataset,domain,concept,variable_name,source_table_or_file,wave_or_cycle,definition,allowed_values,units,derivation_rule,missingness_rule,analysis_role,codebook_status,qa_status,notes
CHARLS_ID_001,CHARLS,identity,participant_id,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Unique respondent identifier,TODO_CODEBOOK_CHECK,not_applicable,Direct from verified codebook,Must be non-missing and stable across waves,key,TODO_CODEBOOK_CHECK,not_started,Do not assume ID name before codebook check.
CHARLS_ID_002,CHARLS,identity,household_id,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Household identifier if needed for clustering or household covariates,TODO_CODEBOOK_CHECK,not_applicable,Direct from verified codebook,Assess missingness and stability,covariate,TODO_CODEBOOK_CHECK,not_started,Optional unless needed for survey or household structure.
CHARLS_ID_003,CHARLS,identity,wave,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Survey wave or interview round,TODO_CODEBOOK_CHECK,not_applicable,Harmonize to numeric or labeled wave,Must be non-missing,key,TODO_CODEBOOK_CHECK,not_started,Needed for longitudinal ordering.
CHARLS_ID_004,CHARLS,identity,interview_date,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Interview date or year-month when available,TODO_CODEBOOK_CHECK,date,Harmonize to date or year,Document partial dates,covariate,TODO_CODEBOOK_CHECK,not_started,Needed for time scale when available.
CHARLS_DEMO_001,CHARLS,demographics,age,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Age at interview,TODO_CODEBOOK_CHECK,years,Prefer age at wave; derive from birth year only if verified,Check impossible values,covariate,TODO_CODEBOOK_CHECK,not_started,Core adjustment and CRVI standardization.
CHARLS_DEMO_002,CHARLS,demographics,sex,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Sex or gender variable used for standardization and subgroup analyses,TODO_CODEBOOK_CHECK,category,Direct from verified codebook,Must be harmonized consistently,covariate,TODO_CODEBOOK_CHECK,not_started,Required for PEF standardization.
CHARLS_RESP_001,CHARLS,low_respiratory_reserve,peak_expiratory_flow,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Peak expiratory flow measurement,TODO_CODEBOOK_CHECK,L/min or codebook_unit,Use verified best trial or mean rule; create standardized residual only after codebook check,Set invalid device/error codes to missing,exposure_component,TODO_CODEBOOK_CHECK,not_started,Primary low respiratory reserve component.
CHARLS_RESP_002,CHARLS,low_respiratory_reserve,peak_expiratory_flow_trials,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Individual PEF trial values if available,TODO_CODEBOOK_CHECK,L/min or codebook_unit,Derive best or reproducible PEF according to prespecified rule,Flag implausible trial patterns,qa_component,TODO_CODEBOOK_CHECK,not_started,Use only after trial coding is verified.
CHARLS_RESP_003,CHARLS,low_respiratory_reserve,height,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Measured or self-reported height,TODO_CODEBOOK_CHECK,cm or codebook_unit,Harmonize units before BMI and PEF standardization,Flag implausible values,covariate,TODO_CODEBOOK_CHECK,not_started,Required for PEF standardization and BMI.
CHARLS_RESP_004,CHARLS,low_respiratory_reserve,weight,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Measured or self-reported weight,TODO_CODEBOOK_CHECK,kg or codebook_unit,Harmonize units before BMI derivation,Flag implausible values,covariate,TODO_CODEBOOK_CHECK,not_started,Required for BMI.
CHARLS_RESP_005,CHARLS,low_respiratory_reserve,bmi,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Body mass index if available or derivable,TODO_CODEBOOK_CHECK,kg/m2,Prefer derived from verified height and weight unless official BMI variable is documented,Set missing if height or weight invalid,covariate_or_component,TODO_CODEBOOK_CHECK,not_started,Do not mix official and derived BMI without flag.
CHARLS_RESP_006,CHARLS,respiratory_outcome,chronic_lung_disease,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,baseline_and_followup,Self-reported physician diagnosis or survey-defined chronic lung disease,TODO_CODEBOOK_CHECK,binary,Harmonize to no/yes using codebook; document that this is not GOLD-COPD,Unknown/refused to missing unless prespecified,primary_outcome,TODO_CODEBOOK_CHECK,not_started,Main incident CLD outcome if event count sufficient.
CHARLS_SMOKE_001,CHARLS,behavioral_risk,current_smoking,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Current smoking status,TODO_CODEBOOK_CHECK,binary,Harmonize current smoker indicator from verified items,Unknown/refused to missing unless prespecified,covariate,TODO_CODEBOOK_CHECK,not_started,Core confounder and subgroup variable.
CHARLS_SMOKE_002,CHARLS,behavioral_risk,former_smoking,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Former smoking status,TODO_CODEBOOK_CHECK,binary,Harmonize former smoker indicator from verified items,Unknown/refused to missing unless prespecified,covariate,TODO_CODEBOOK_CHECK,not_started,Needed if smoking categories are modeled.
CHARLS_SMOKE_003,CHARLS,behavioral_risk,smoking_intensity,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Cigarettes per day pack-years or comparable intensity item,TODO_CODEBOOK_CHECK,codebook_unit,Use only if codebook and recall window support harmonization,Document nonresponse,covariate_or_sensitivity,TODO_CODEBOOK_CHECK,not_started,Do not invent pack-years if components unavailable.
CHARLS_SOC_001,CHARLS,social_determinants,education,TODO_CODEBOOK_CHECK,TODO_CODEBOOK_CHECK,all,Educational attainment,TODO_CODEBOOK_CHECK,category,Harmonize to ordered categories after codebook check,Unknown/refused to missing unless prespecified,covariate,TODO_CODEBOOK_CHECK,not_started,Core socioeconomic covariate.
